,,,ポケモン名,H,A,B,C,D,S,計
121,149,10281,メガカイリュー,91,124,115,145,125,100,700
122,150,150,ミュウツー,106,110,90,154,90,130,680
123,150,10044,メガミュウツーY,106,150,70,194,120,140,780
124,150,10043,メガミュウツーX,106,190,100,154,100,130,780
125,151,151,ミュウ,100,100,100,100,100,100,600
126,154,154,メガニウム,80,82,100,83,100,80,525
127,154,10282,メガメガニウム,80,92,115,143,115,80,625
128,157,157,バクフーン,78,84,78,109,85,100,534
129,157,10233,Rバクフーン,73,84,78,119,85,95,534
130,160,160,オーダイル,85,105,100,79,83,78,530
131,160,10283,メガオーダイル,85,160,125,89,93,78,630
132,162,162,オオタチ,85,76,64,45,55,90,415
133,164,164,ヨルノズク,100,50,50,86,96,70,452
134,166,166,レディアン,55,35,50,55,110,85,390
135,168,168,アリアドス,70,90,70,60,70,40,400
136,169,169,クロバット,85,90,80,70,80,130,535
137,171,171,ランターン,125,58,58,76,76,67,460
138,176,176,トゲチック,55,40,85,80,105,40,405
139,178,178,ネイティオ,65,75,70,95,70,95,470
140,181,181,デンリュウ,90,75,85,115,90,55,510
141,181,10045,メガデンリュウ,90,95,105,165,110,45,610
142,182,182,キレイハナ,75,80,95,90,100,50,490
143,184,184,マリルリ,100,50,80,60,80,50,420
144,185,185,ウソッキー,70,100,115,30,65,30,410
145,186,186,ニョロトノ,90,75,75,90,100,70,500
146,189,189,ワタッコ,75,55,70,55,95,110,460
147,192,192,キマワリ,75,75,55,105,85,30,425
148,195,195,ヌオー,95,85,85,65,65,35,430
149,196,196,エーフィ,65,65,60,130,95,110,525
150,197,197,ブラッキー,95,65,110,60,130,65,525
151,198,198,ヤミカラス,60,85,42,85,42,91,405
152,199,199,ヤドキング,95,75,80,100,110,30,490
153,199,10172,Rヤドキング,95,65,80,110,110,30,490
154,200,200,ムウマ,60,60,60,85,85,85,435
155,201,201,アンノーン,48,72,48,72,48,48,336
156,202,202,ソーナンス,190,33,58,33,58,33,405
157,203,203,キリンリキ,70,80,65,90,65,85,455
158,205,205,フォレトス,75,90,140,60,60,40,465
159,206,206,ノコッチ,100,70,70,65,65,45,415
160,207,207,グライガー,65,75,105,35,65,85,430
161,208,208,ハガネール,75,85,200,55,65,30,510
162,208,10072,メガハガネール,75,125,230,55,95,30,610
163,210,210,グランブル,90,120,75,60,60,45,450
164,211,211,ハリーセン,65,95,85,55,55,85,440
165,211,10234,Rハリーセン,65,95,85,55,55,85,440
166,212,212,ハッサム,70,130,100,55,80,65,500
167,212,10046,メガハッサム,70,150,140,65,100,75,600
168,213,213,ツボツボ,20,10,230,10,230,5,505
169,214,214,ヘラクロス,80,125,75,40,95,85,500
170,214,10047,メガヘラクロス,80,185,115,40,105,75,600
171,217,217,リングマ,90,130,75,75,75,55,500
172,219,219,マグカルゴ,60,50,120,90,80,30,430
173,221,221,イノムー,100,100,80,60,60,50,450
174,222,222,サニーゴ,65,55,95,65,95,35,410
175,222,10173,Rサニーゴ,60,55,100,65,100,30,410
176,224,224,オクタン,75,105,75,105,75,45,480
177,225,225,デリバード,45,55,45,65,45,75,330
178,226,226,マンタイン,85,40,70,80,140,70,485
179,227,227,エアームド,65,80,140,40,70,70,465
180,227,10284,メガエアームド,65,140,110,40,100,110,565
181,229,229,ヘルガー,75,90,50,110,80,95,500
182,229,10048,メガヘルガー,75,90,90,140,90,115,600
183,230,230,キングドラ,75,95,95,95,95,85,540
184,232,232,ドンファン,90,120,120,60,60,50,500
185,233,233,ポリゴン2,85,80,90,105,95,60,515
186,234,234,オドシシ,73,95,62,85,65,85,465
187,235,235,ドーブル,55,20,35,20,45,75,250
188,237,237,カポエラー,50,95,95,35,110,70,455
189,241,241,ミルタンク,95,80,105,40,70,100,490
190,242,242,ハピナス,255,10,10,75,135,55,540
191,243,243,ライコウ,90,85,75,115,100,115,580
192,244,244,エンテイ,115,115,85,90,75,100,580
193,245,245,スイクン,100,75,115,90,115,85,580
194,248,248,バンギラス,100,134,110,95,100,61,600
195,248,10049,メガバンギラス,100,164,150,95,120,71,700
196,249,249,ルギア,106,90,130,90,154,110,680
197,250,250,ホウオウ,106,130,90,110,154,90,680
198,251,251,セレビィ,100,100,100,100,100,100,600
199,254,254,ジュカイン,70,85,65,105,85,120,530
200,254,10065,メガジュカイン,70,110,75,145,85,145,630
201,257,257,バシャーモ,80,120,70,110,70,80,530
202,257,10050,メガバシャーモ,80,160,80,130,80,100,630
203,260,260,ラグラージ,100,110,90,85,90,60,535
204,260,10064,メガラグラージ,100,150,110,95,110,70,635
205,262,262,グラエナ,70,90,70,60,60,70,420
206,264,264,マッスグマ,78,70,61,50,61,100,420
207,267,267,アゲハント,60,70,50,100,50,65,395
208,269,269,ドクケイル,60,50,70,50,90,65,385
209,272,272,ルンパッパ,80,70,70,90,100,70,480
210,275,275,ダーテング,90,100,60,90,60,80,480
211,277,277,オオスバメ,60,85,60,75,50,125,455
212,279,279,ペリッパー,60,50,100,95,70,65,440
213,282,282,サーナイト,68,65,65,125,115,80,518
214,282,10051,メガサーナイト,68,85,65,165,135,100,618
215,284,284,アメモース,70,60,62,100,82,80,454
216,286,286,キノガッサ,60,130,80,60,60,70,460
217,289,289,ケッキング,150,160,100,95,65,100,670
218,291,291,テッカニン,61,90,45,50,50,160,456
219,292,292,ヌケニン,1,90,45,30,30,40,236
220,295,295,バクオング,104,91,63,91,73,68,490
221,297,297,ハリテヤマ,144,120,60,40,60,50,474
222,301,301,エネコロロ,70,65,65,55,55,90,400
223,302,302,ヤミラミ,50,75,75,65,65,50,380
224,302,10066,メガヤミラミ,50,85,125,85,115,20,480
225,303,303,クチート,50,85,85,55,55,50,380
226,303,10052,メガクチート,50,147,125,55,95,50,522
227,306,306,ボスゴドラ,70,110,180,60,60,50,530
228,306,10053,メガボスゴドラ,70,140,230,60,80,50,630
229,308,308,チャーレム,60,84,75,60,75,80,434
230,308,10054,メガチャーレム,60,140,85,80,85,100,550
231,310,310,ライボルト,70,75,60,105,60,105,475
232,310,10055,メガライボルト,70,75,80,135,80,135,575
233,311,311,プラスル,60,50,40,85,75,95,405
234,312,312,マイナン,60,40,50,75,85,95,405
235,313,313,バルビート,65,73,75,47,85,85,430
236,314,314,イルミーゼ,65,47,75,73,85,85,430
237,317,317,マルノーム,100,73,83,73,83,55,467
238,319,319,サメハダー,70,120,40,95,40,95,460
239,319,10070,メガサメハダー,70,140,70,110,65,105,560
240,321,321,ホエルオー,170,90,45,90,45,60,500
241,323,323,バクーダ,70,100,70,105,75,40,460
242,323,10087,メガバクーダ,70,120,100,145,105,20,560
243,324,324,コータス,70,85,140,85,70,20,470
244,326,326,ブーピッグ,80,45,65,90,110,80,470
245,327,327,パッチール,60,60,60,60,60,60,360
246,330,330,フライゴン,80,100,80,80,80,100,520
247,332,332,ノクタス,70,115,60,115,60,55,475
248,334,334,チルタリス,75,70,90,70,105,80,490
249,334,10067,メガチルタリス,75,110,110,110,105,80,590
250,335,335,ザングース,73,115,60,60,60,90,458
251,336,336,ハブネーク,73,100,60,100,60,65,458
252,337,337,ルナトーン,90,55,65,95,85,70,460
253,338,338,ソルロック,90,95,85,55,65,70,460
254,340,340,ナマズン,110,78,73,76,71,60,468
255,342,342,シザリガー,63,120,85,90,55,55,468
256,344,344,ネンドール,60,70,105,70,120,75,500
257,346,346,ユレイドル,86,81,97,81,107,43,495
258,348,348,アーマルド,75,125,100,70,80,45,495
259,350,350,ミロカロス,95,60,79,100,125,81,540
260,351,351,ポワルン,70,70,70,70,70,70,420
261,352,352,カクレオン,60,90,70,60,120,40,440
262,354,354,ジュペッタ,64,115,65,83,63,65,455
263,354,10056,メガジュペッタ,64,165,75,93,83,75,555
264,356,356,サマヨール,40,70,130,60,130,25,455
265,357,357,トロピウス,99,68,83,72,87,51,460
266,358,358,チリーン,75,50,80,95,90,65,455
267,358,10306,メガチリーン,75,50,110,135,120,65,555
268,359,359,アブソル,65,130,60,75,60,75,465
269,359,10307,メガアブソルZ,65,154,60,75,60,151,565
270,359,10057,メガアブソル,65,150,60,115,60,115,565
271,362,362,オニゴーリ,80,80,80,80,80,80,480
272,362,10074,メガオニゴーリ,80,120,80,120,80,100,580
273,365,365,トドゼルガ,110,80,90,95,90,65,530
274,366,366,パールル,35,64,85,74,55,32,345
275,367,367,ハンテール,55,104,105,94,75,52,485
276,368,368,サクラビス,55,84,105,114,75,52,485
277,369,369,ジーランス,100,90,130,45,65,55,485
278,370,370,ラブカス,43,30,55,40,65,97,330
279,373,373,ボーマンダ,95,135,80,110,80,100,600
280,373,10089,メガボーマンダ,95,145,130,120,90,120,700
281,376,376,メタグロス,80,135,130,95,90,70,600
282,376,10076,メガメタグロス,80,145,150,105,110,110,700
283,377,377,レジロック,80,100,200,50,100,50,580
284,378,378,レジアイス,80,50,100,100,200,50,580
285,379,379,レジスチル,80,75,150,75,150,50,580
286,380,380,ラティアス,80,80,90,110,130,110,600
287,380,10062,メガラティアス,80,100,120,140,150,110,700
288,381,381,ラティオス,80,90,80,130,110,110,600
289,381,10063,メガラティオス,80,130,100,160,120,110,700
290,382,382,カイオーガ,100,100,90,150,140,90,670
291,382,10077,ゲンシカイオーガ,100,150,90,180,160,90,770
292,383,383,グラードン,100,150,140,100,90,90,670
293,383,10078,ゲンシグラードン,100,180,160,150,90,90,770
294,384,384,レックウザ,105,150,90,150,90,95,680
295,384,10079,メガレックウザ,105,180,100,180,100,115,780
296,385,385,ジラーチ,100,100,100,100,100,100,600
297,386,10003,デオキシス（ス）,50,95,90,95,90,180,600
298,386,386,デオキシス（ノ）,50,150,50,150,50,150,600
299,386,10001,デオキシス（ア）,50,180,20,180,20,150,600
300,386,10002,デオキシス（デ）,50,70,160,70,160,90,600
301,389,389,ドダイトス,95,109,105,75,85,56,525
302,392,392,ゴウカザル,76,104,71,104,71,108,534
303,395,395,エンペルト,84,86,88,111,101,60,530
304,398,398,ムクホーク,85,120,70,50,60,100,485
305,398,10308,メガムクホーク,85,140,100,60,90,110,585
306,400,400,ビーダル,79,85,60,55,60,71,410
307,402,402,コロトック,77,85,51,55,51,65,384
308,405,405,レントラー,80,120,79,95,79,70,523
309,407,407,ロズレイド,60,70,65,125,105,90,515
310,409,409,ラムパルド,97,165,60,65,50,58,495
311,411,411,トリデプス,60,52,168,47,138,30,495
312,413,413,くさきミノマダム,60,59,85,79,105,36,424
313,413,10004,すなちミノマダム,60,79,105,59,85,36,424
314,413,10005,ごみミノマダム,60,69,95,69,95,36,424
315,414,414,ガーメイル,70,94,50,94,50,66,424
316,416,416,ビークイン,70,80,102,80,102,40,474
317,417,417,パチリス,60,45,70,45,90,95,405
318,419,419,フローゼル,85,105,55,85,50,115,495
319,421,421,チェリム,70,60,70,87,78,85,450
320,423,423,トリトドン,111,83,68,92,82,39,475
321,424,424,エテボース,75,100,66,60,66,115,482
322,426,426,フワライド,150,80,44,90,54,80,498
323,428,428,ミミロップ,65,76,84,54,96,105,480
324,428,10088,メガミミロップ,65,136,94,54,96,135,580
325,429,429,ムウマージ,60,60,60,105,105,105,495
326,430,430,ドンカラス,100,125,52,105,52,71,505
327,432,432,ブニャット,71,82,64,64,59,112,452
328,435,435,スカタンク,103,93,67,71,61,84,479
329,437,437,ドータクン,67,89,116,79,116,33,500
330,441,441,ペラップ,76,65,45,92,42,91,411
331,442,442,ミカルゲ,50,92,108,92,108,35,485
332,445,445,ガブリアス,108,130,95,80,85,102,600
333,445,10309,メガガブリアスZ,108,130,85,141,85,151,700
334,445,10058,メガガブリアス,108,170,115,120,95,92,700
335,448,448,ルカリオ,70,110,70,115,70,90,525
336,448,10310,メガルカリオZ,70,100,70,164,70,151,625
337,448,10059,メガルカリオ,70,145,88,140,70,112,625
338,450,450,カバルドン,108,112,118,68,72,47,525
339,452,452,ドラピオン,70,90,110,60,75,95,500
340,454,454,ドクロッグ,83,106,65,86,65,85,490
341,455,455,マスキッパ,74,100,72,90,72,46,454
342,457,457,ネオラント,69,69,76,69,86,91,460
343,460,460,ユキノオー,90,92,75,92,85,60,494
344,460,10060,メガユキノオー,90,132,105,132,105,30,594
345,461,461,マニューラ,70,120,65,45,85,125,510
346,462,462,ジバコイル,70,70,115,130,90,60,535
347,463,463,ベロベルト,110,85,95,80,95,50,515
348,464,464,ドサイドン,115,140,130,55,55,40,535
349,465,465,モジャンボ,100,100,125,110,50,50,535
350,466,466,エレキブル,75,123,67,95,85,95,540
351,467,467,ブーバーン,75,95,67,125,95,83,540
352,468,468,トゲキッス,85,50,95,120,115,80,545
353,469,469,メガヤンマ,86,76,86,116,56,95,515
354,470,470,リーフィア,65,110,130,60,65,95,525
355,471,471,グレイシア,65,60,110,130,95,65,525
356,472,472,グライオン,75,95,125,45,75,95,510
357,473,473,マンムー,110,130,80,70,60,80,530
358,474,474,ポリゴンZ,85,80,70,135,75,90,535
359,475,475,エルレイド,68,125,65,65,115,80,518
360,475,10068,メガエルレイド,68,165,95,65,115,110,618
361,476,476,ダイノーズ,60,55,145,75,150,40,525
362,477,477,ヨノワール,45,100,135,65,135,45,525
363,478,478,ユキメノコ,70,80,70,80,70,110,480
364,478,10285,メガユキメノコ,70,80,70,140,100,120,580
365,479,479,ロトム,50,50,77,95,77,91,440
366,479,10009,FCロトム,50,65,107,105,107,86,520
367,480,480,ユクシー,75,75,130,75,130,95,580
368,481,481,エムリット,80,105,105,105,105,80,580
369,482,482,アグノム,75,125,70,125,70,115,580
370,483,483,ディアルガ,100,120,120,150,100,90,680
371,483,10245,ディアルガ（オリ）,100,100,120,150,120,90,680
372,484,10246,パルキア（オリ）,90,100,100,150,120,120,680
373,484,484,パルキア,90,120,100,150,120,100,680
374,485,485,ヒードラン,91,90,106,130,106,77,600
375,485,10311,メガヒードラン,91,120,106,175,141,67,700
376,486,486,レジギガス,110,160,110,80,110,100,670
377,487,487,ギラティナ,150,100,120,100,120,90,680
378,487,10007,ギラティナ（オリ）,150,120,100,120,100,90,680
379,488,488,クレセリア,120,70,110,75,120,85,580
380,489,489,フィオネ,80,80,80,80,80,80,480
381,490,490,マナフィ,100,100,100,100,100,100,600
382,491,491,ダークライ,70,90,90,135,90,125,600
383,491,10312,メガダークライ,70,120,130,165,130,85,700
384,492,10006,スカイシェイミ,100,103,75,120,75,127,600
385,492,492,シェイミ,100,100,100,100,100,100,600
386,493,493,アルセウス,120,120,120,120,120,120,720
387,494,494,ビクティニ,100,100,100,100,100,100,600
388,497,497,ジャローダ,75,75,95,75,95,113,528
389,500,500,エンブオー,110,123,65,100,65,65,528
390,500,10286,メガエンブオー,110,148,75,110,110,75,628
391,503,10236,Rダイケンキ,90,108,80,100,65,85,528
392,503,503,ダイケンキ,95,100,85,108,70,70,528
393,505,505,ミルホッグ,60,85,69,60,69,77,420
394,508,508,ムーランド,85,110,90,45,90,80,500
395,510,510,レパルダス,64,88,50,88,50,106,446
396,512,512,ヤナッキー,75,98,63,98,63,101,498
397,514,514,バオッキー,75,98,63,98,63,101,498
398,516,516,ヒヤッキー,75,98,63,98,63,101,498
399,518,518,ムシャーナ,116,55,85,107,95,29,487
400,521,521,ケンホロウ,80,115,80,65,55,93,488
401,523,523,ゼブライカ,75,100,63,80,63,116,497
402,526,526,ギガイアス,85,135,130,60,80,25,515
403,528,528,ココロモリ,67,57,55,77,55,114,425
404,530,530,ドリュウズ,110,135,60,50,65,88,508
405,530,10287,メガドリュウズ,110,165,100,65,65,103,608
406,531,531,タブンネ,103,60,86,60,86,50,445
407,531,10069,メガタブンネ,103,60,126,80,126,50,545
408,534,534,ローブシン,105,140,95,55,65,45,505
409,537,537,ガマゲロゲ,105,95,75,85,75,74,509
410,538,538,ナゲキ,120,100,85,30,85,45,465
411,539,539,ダゲキ,75,125,75,30,75,85,465
412,542,542,ハハコモリ,75,103,80,70,80,92,500
413,545,545,ペンドラー,60,100,89,55,69,112,485
414,545,10288,メガペンドラー,60,140,149,75,99,62,585
415,547,547,エルフーン,60,67,85,77,75,116,480
416,549,10237,Rドレディア,70,105,75,50,75,105,480
417,549,549,ドレディア,70,60,75,110,75,90,480
418,550,550,バスラオ,70,92,65,80,55,98,460
419,553,553,ワルビアル,95,117,80,65,70,92,519
420,555,555,ヒヒダルマ,105,140,55,30,55,95,480
421,555,10177,Rヒヒダルマ,105,140,55,30,55,95,480
422,555,10178,Rヒヒダルマ（ダルマ）,105,160,55,30,55,135,540
423,555,10017,ヒヒダルマ（ダルマ）,105,30,105,140,105,55,540
424,556,556,マラカッチ,75,86,67,106,67,60,461
425,558,558,イワパレス,70,105,125,65,75,45,485
426,560,560,ズルズキン,65,90,115,45,115,58,488
427,560,10289,メガズルズキン,65,130,135,55,135,68,588
428,561,561,シンボラー,72,58,80,103,80,97,490
429,563,563,デスカーン,58,50,145,95,105,30,483
430,565,565,アバゴーラ,74,108,133,83,65,32,495
431,567,567,アーケオス,75,140,65,112,65,110,567
432,569,569,ダストダス,80,95,82,60,82,75,474
433,571,10239,Rゾロアーク,55,100,60,125,60,110,510
434,571,571,ゾロアーク,60,105,60,120,60,105,510
435,573,573,チラチーノ,75,95,60,65,60,115,470
436,576,576,ゴチルゼル,70,55,95,95,110,65,490
437,579,579,ランクルス,110,65,75,125,85,30,490
438,581,581,スワンナ,75,87,63,87,63,98,473
439,584,584,バイバニラ,71,95,85,110,95,79,535
440,586,586,メブキジカ,80,100,70,60,70,95,475
441,587,587,エモンガ,55,75,60,75,60,103,428
442,589,589,シュバルゴ,70,135,105,60,105,20,495
443,591,591,モロバレル,114,85,70,85,80,30,464
444,593,593,ブルンゲル,100,60,70,85,105,60,480
445,594,594,ママンボウ,165,75,80,40,45,65,470
446,596,596,デンチュラ,70,77,60,97,60,108,472
447,598,598,ナットレイ,74,94,131,54,116,20,489
448,601,601,ギギギアル,60,100,115,70,85,90,520
449,604,604,シビルドン,85,115,80,105,80,50,515
450,604,10290,メガシビルドン,85,145,80,135,90,80,615
451,606,606,オーベム,75,75,75,125,95,40,485
452,609,609,シャンデラ,60,55,90,145,90,80,520
453,609,10291,メガシャンデラ,60,75,110,175,110,90,620
454,612,612,オノノクス,76,147,90,60,70,97,540
455,614,614,ツンベアー,95,130,80,70,80,50,505
456,615,615,フリージオ,80,50,50,95,135,105,515
457,617,617,アギルダー,80,70,40,100,60,145,495
458,618,618,マッギョ,109,66,84,81,99,32,471
459,618,10180,Rマッギョ,109,81,99,66,84,32,471
460,620,620,コジョンド,65,125,60,95,60,105,510
461,621,621,クリムガン,77,120,90,60,90,48,485
462,623,623,ゴルーグ,89,124,80,55,80,55,483
463,623,10313,メガゴルーグ,89,159,105,70,105,55,583
464,625,625,キリキザン,65,125,100,60,70,70,490
465,626,626,バッフロン,95,110,95,40,95,55,490
466,628,628,ウォーグル,100,123,75,57,75,80,510
467,628,10240,Rウォーグル,110,83,70,112,70,65,510
468,630,630,バルジーナ,110,65,105,55,95,80,510
469,631,631,クイタラン,85,97,66,105,66,65,484
470,632,632,アイアント,58,109,112,48,48,109,484
471,635,635,サザンドラ,92,105,90,125,90,98,600
472,637,637,ウルガモス,85,60,65,135,105,100,550
473,638,638,コバルオン,91,90,129,90,72,108,580
474,639,639,テラキオン,91,129,90,72,90,108,580
475,640,640,ビリジオン,91,90,72,90,129,108,580
476,641,10019,霊獣トルネロス,79,100,80,110,90,121,580
477,641,641,化身トルネロス,79,115,70,125,80,111,580
478,642,642,化身ボルトロス,79,115,70,125,80,111,580
479,642,10020,霊獣ボルトロス,79,105,70,145,80,101,580
480,643,643,レシラム,100,120,100,150,120,90,680
481,644,644,ゼクロム,100,150,120,120,100,90,680
482,645,645,化身ランドロス,89,125,90,115,80,101,600
483,645,10021,霊獣ランドロス,89,145,90,105,80,91,600
484,646,646,キュレム,125,130,90,130,90,95,660
485,646,10023,白キュレム,125,120,90,170,100,95,700
486,646,10022,黒キュレム,125,170,100,120,90,95,700
487,647,647,ケルディオ,91,72,90,129,90,108,580
488,647,10024,ケルディオ（覚悟）,91,72,90,129,90,108,580
489,648,10018,メロエッタ（ステップ）,100,128,90,77,77,128,600
490,648,648,メロエッタ（ボイス）,100,77,77,128,128,90,600
491,649,649,ゲノセクト,71,120,95,120,95,99,600
492,652,652,ブリガロン,88,107,122,74,75,64,530
493,652,10292,メガブリガロン,88,137,172,74,115,44,630
494,655,655,マフォクシー,75,69,72,114,100,104,534
495,655,10293,メガマフォクシー,75,69,72,159,125,134,634
496,658,658,ゲッコウガ,72,95,67,103,71,122,530
497,658,10294,メガゲッコウガ,72,125,77,133,81,142,630
498,658,658,サトシゲッコウガ,72,145,67,153,71,132,640
499,660,660,ホルード,85,56,77,50,77,78,423
500,663,663,ファイアロー,78,81,71,74,69,126,499
501,666,666,ビビヨン,80,52,50,90,50,89,411
502,668,668,カエンジシ,86,68,72,109,66,106,507
503,668,10295,メガカエンジシ,86,88,92,129,86,126,607
504,670,10061,永遠フラエッテ,74,65,67,125,128,92,551
505,670,10296,メガフラエッテ,74,85,87,155,148,102,651
506,671,671,フラージェス,78,65,68,112,154,75,552
507,673,673,ゴーゴート,123,100,62,97,81,68,531
508,675,675,ゴロンダ,95,124,78,69,71,58,495
509,676,676,トリミアン,75,80,60,65,90,102,472
510,678,678,ニャオニクス,74,48,76,83,81,104,466
511,678,10314,メガニャオニクス,74,48,76,143,101,124,566
512,680,680,ニダンギル,59,110,150,45,49,35,448
